"Dostop do interneta v gospodinjstvih, po tipu gospodinjstva, Slovenija, letno"

"LETO";"DOSTOP GOSPODINJSTEV DO INTERNETA";"Število gospodinjstev – SKUPAJ"
"2012";"Gospodinjstva – SKUPAJ";709093
"2012";"Dostop do interneta";524287
"2013";"Gospodinjstva – SKUPAJ";721081
"2013";"Dostop do interneta";545284
"2014";"Gospodinjstva – SKUPAJ";726699
"2014";"Dostop do interneta";558105
"2015";"Gospodinjstva – SKUPAJ";729259
"2015";"Dostop do interneta";566219
"2016";"Gospodinjstva – SKUPAJ";722360
"2016";"Dostop do interneta";566483
"2017";"Gospodinjstva – SKUPAJ";734467
"2017";"Dostop do interneta";600330
"2018";"Gospodinjstva – SKUPAJ";734506
"2018";"Dostop do interneta";636685
"2019";"Gospodinjstva – SKUPAJ";732493
"2019";"Dostop do interneta";651634
"2020";"Gospodinjstva – SKUPAJ";745889
"2020";"Dostop do interneta";671113
