"Povpreèna porabljena denarna sredstva gospodinjstev, Slovenija, veèletno"

"ECOICOP";"2012 Povpreèno na gospodinjstvo (EUR)";"2015 Povpreèno na gospodinjstvo (EUR)";"2018 Povpreèno na gospodinjstvo (EUR)"
"00 PORABLJENA SREDSTVA";19250.03;19496.43;21360.35
"01 HRANA IN BREZALKOHOLNE PIJAÈE";2750.84;2671.17;2816.99
"02 ALKOHOLNE PIJAÈE, TOBAK IN MAMILA";356.62;362.58;350.67
"04 STANOVANJA, VODA, ELEKTRIÈNA ENERGIJA, PLIN IN DRUGO GORIVO";2624.68;2558.10;2736.41
"0451 Elektrièna energija";676.18;693.88;701.27
"0452 Plin";210.47;206.85;169.89
"04521 Zemeljski plin in mestni plin";153.21;125.69;113.62
"0453 Tekoèa goriva";456.97;254.05;229.70
"0454 Trdna goriva";165.87;240.34;260.27
"0455 Toplotna energija";136.76;142.05;131.19
"05 STANOVANJSKA IN GOSPODINJSKA OPREMA IN TEKOÈE VZDRŽEVANJE STANOVANJ";906.27;859.90;1123.42
"06 ZDRAVSTVO";449.06;435.98;564.78
"07 PREVOZ";3239.10;3600.84;4184.04
"0711 Avtomobili";1025.58;1183.08;1659.95
"07221 Dizelsko gorivo";592.25;763.01;809.74
"07222 Bencin";837.96;804.87;704.10
"08 KOMUNIKACIJE";953.17;988.96;1016.06
"09 REKREACIJA IN KULTURA";1684.34;1466.34;1775.56
"10 IZOBRAŽEVANJE";177.03;178.44;188.19
"11 RESTAVRACIJE IN HOTELI";606.70;990.54;1297.10
"12 RAZNOVRSTNO BLAGO IN STORITVE";1924.59;2061.83;2191.16
